ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.25322,0.14283,0.18264,4

ROUGE-SU4+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.38426,0.17471,0.24021,4

ROUGE-L+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.52823,0.29381,0.37759,3

ROUGE-1+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.60759,0.29962,0.40133,3

ROUGE-2+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.22868,0.09447,0.13370,3

ROUGE-SU4+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.36599,0.12144,0.18237,3

ROUGE-L+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.47921,0.23292,0.31348,6

ROUGE-1+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.58554,0.36545,0.45003,6

ROUGE-2+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.24073,0.11337,0.15415,6

ROUGE-SU4+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.34780,0.14878,0.20841,6

ROUGE-L+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.54512,0.28964,0.37829,3

ROUGE-1+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.65716,0.29823,0.41027,3

ROUGE-2+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.27551,0.09365,0.13978,3

ROUGE-SU4+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.40551,0.11441,0.17847,3

ROUGE-L+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.53679,0.24302,0.33457,3

ROUGE-1+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.64589,0.22454,0.33323,3

ROUGE-2+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.31819,0.08361,0.13242,3

ROUGE-SU4+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.41778,0.09678,0.15716,3

ROUGE-L+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.58304,0.22364,0.32327,3

ROUGE-1+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.69377,0.23073,0.34630,3

ROUGE-2+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.34470,0.08566,0.13721,3

ROUGE-SU4+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.44169,0.09878,0.16145,3

ROUGE-L+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.46188,0.29012,0.35638,3

ROUGE-1+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.57145,0.40371,0.47315,3

ROUGE-2+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.17496,0.10141,0.12840,3

ROUGE-SU4+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.31373,0.14633,0.19957,3

ROUGE-L+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.52395,0.27623,0.36174,4

ROUGE-1+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.60560,0.26543,0.36909,4

ROUGE-2+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.25517,0.09043,0.13354,4

ROUGE-SU4+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.37417,0.10779,0.16736,4

ROUGE-L+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.60461,0.26267,0.36623,4

ROUGE-1+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.74182,0.27877,0.40525,4

ROUGE-2+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.37194,0.11616,0.17703,4

ROUGE-SU4+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.49582,0.12508,0.19977,4

ROUGE-L+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.45781,0.22777,0.30420,3

ROUGE-1+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.60168,0.30983,0.40903,3

ROUGE-2+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.27625,0.11042,0.15778,3

ROUGE-SU4+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.35632,0.14169,0.20276,3

ROUGE-L+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.53692,0.20704,0.29885,4

ROUGE-1+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.65873,0.15296,0.24828,4

ROUGE-2+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.29128,0.05000,0.08535,4

ROUGE-SU4+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.40475,0.06103,0.10606,4

ROUGE-L+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.49773,0.25901,0.34072,3

ROUGE-1+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.66614,0.18568,0.29042,3

ROUGE-2+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.21239,0.05499,0.08737,3

ROUGE-SU4+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.36784,0.07675,0.12700,3

ROUGE-L+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.40451,0.31522,0.35433,3

ROUGE-1+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.50251,0.43240,0.46483,3

ROUGE-2+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.16275,0.12508,0.14145,3

ROUGE-SU4+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.29414,0.17452,0.21907,3

ROUGE-L+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.58551,0.23097,0.33127,4

ROUGE-1+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.74319,0.18435,0.29543,4

ROUGE-2+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.34498,0.07477,0.12290,4

ROUGE-SU4+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.47365,0.08706,0.14708,4

ROUGE-L+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.43264,0.38829,0.40927,3

ROUGE-1+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.48264,0.44775,0.46454,3

ROUGE-2+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.14044,0.12358,0.13147,3

ROUGE-SU4+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.26282,0.17310,0.20872,3

ROUGE-L+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.45239,0.30067,0.36125,4

ROUGE-1+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.52827,0.30820,0.38928,4

ROUGE-2+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.18839,0.08574,0.11784,4

ROUGE-SU4+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.30953,0.12168,0.17469,4

ROUGE-L+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.41561,0.17537,0.24666,6

ROUGE-1+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.56532,0.19216,0.28682,6

ROUGE-2+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.23336,0.05467,0.08858,6

ROUGE-SU4+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.33980,0.07708,0.12566,6

ROUGE-L+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.53232,0.31301,0.39422,3

ROUGE-1+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.62467,0.31426,0.41816,3

ROUGE-2+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.30801,0.12084,0.17358,3

ROUGE-SU4+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.41568,0.14014,0.20961,3

ROUGE-L+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.45853,0.29534,0.35927,4

ROUGE-1+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.51675,0.42258,0.46494,4

ROUGE-2+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.15389,0.10498,0.12481,4

ROUGE-SU4+StopWordRemoval+Stemming,32557,SUMMARY.TXT,0.27649,0.15554,0.19908,4

ROUGE-L+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.63031,0.03684,0.06961,3

ROUGE-1+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.71187,0.01375,0.02698,3

ROUGE-2+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.36566,0.00492,0.00971,3

ROUGE-SU4+StopWordRemoval+Stemming,32437,SUMMARY.TXT,0.48607,0.00454,0.00899,3

ROUGE-L+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.44820,0.18203,0.25890,4

ROUGE-1+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.65244,0.21936,0.32834,4

ROUGE-2+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.24520,0.08514,0.12639,4

ROUGE-SU4+StopWordRemoval+Stemming,33070,SUMMARY.TXT,0.35780,0.10795,0.16586,4

ROUGE-L+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.47858,0.30819,0.37493,3

ROUGE-1+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.63674,0.21026,0.31613,3

ROUGE-2+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.30765,0.08498,0.13318,3

ROUGE-SU4+StopWordRemoval+Stemming,31333,SUMMARY.TXT,0.41862,0.10251,0.16469,3

ROUGE-L+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.48169,0.29197,0.36357,4

ROUGE-1+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.60609,0.33530,0.43175,4

ROUGE-2+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.26174,0.11290,0.15776,4

ROUGE-SU4+StopWordRemoval+Stemming,32424,SUMMARY.TXT,0.37090,0.13510,0.19806,4

ROUGE-L+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.64302,0.28561,0.39554,4

ROUGE-1+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.70149,0.17242,0.27680,4

ROUGE-2+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.44810,0.06300,0.11047,4

ROUGE-SU4+StopWordRemoval+Stemming,32545,SUMMARY.TXT,0.53130,0.07084,0.12500,4

ROUGE-L+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.46129,0.31763,0.37621,4

ROUGE-1+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.52304,0.38548,0.44385,4

ROUGE-2+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.21302,0.13896,0.16820,4

ROUGE-SU4+StopWordRemoval+Stemming,32543,SUMMARY.TXT,0.31681,0.17200,0.22295,4

ROUGE-L+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.50440,0.17712,0.26218,3

ROUGE-1+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.61284,0.25130,0.35644,3

ROUGE-2+StopWordRemoval+Stemming,32540,SUMMARY.TXT,0.25501,0.07274,0.11319,3

