ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.73420,0.21816,0.33637,4

ROUGE-2+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.34333,0.07656,0.12520,4

ROUGE-SU4+StopWordRemoval+Stemming,30940,SUMMARY.TXT,0.46884,0.09132,0.15286,4

ROUGE-L+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.53047,0.23814,0.32871,4

ROUGE-1+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.65727,0.21251,0.32117,4

ROUGE-2+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.25933,0.07155,0.11216,4

ROUGE-SU4+StopWordRemoval+Stemming,30943,SUMMARY.TXT,0.39037,0.08970,0.14587,4

ROUGE-L+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.57186,0.29180,0.38642,3

ROUGE-1+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.71746,0.31862,0.44127,3

ROUGE-2+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.25591,0.09684,0.14051,3

ROUGE-SU4+StopWordRemoval+Stemming,30822,SUMMARY.TXT,0.40635,0.12711,0.19365,3

ROUGE-L+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.61804,0.30902,0.41203,4

ROUGE-1+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.71139,0.34934,0.46857,4

ROUGE-2+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.32857,0.12847,0.18471,4

ROUGE-SU4+StopWordRemoval+Stemming,30821,SUMMARY.TXT,0.46914,0.14847,0.22555,4

ROUGE-L+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.59230,0.29197,0.39113,3

ROUGE-1+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.68577,0.27645,0.39405,3

ROUGE-2+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.29544,0.10000,0.14942,3

ROUGE-SU4+StopWordRemoval+Stemming,30927,SUMMARY.TXT,0.43748,0.11930,0.18747,3

ROUGE-L+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.50397,0.22139,0.30764,6

ROUGE-1+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.63264,0.34341,0.44517,6

ROUGE-2+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.25792,0.10446,0.14869,6

ROUGE-SU4+StopWordRemoval+Stemming,30808,SUMMARY.TXT,0.37144,0.13771,0.20093,6

ROUGE-L+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.57119,0.27035,0.36699,3

ROUGE-1+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.70400,0.26385,0.38384,3

ROUGE-2+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.29640,0.08324,0.12997,3

ROUGE-SU4+StopWordRemoval+Stemming,33083,SUMMARY.TXT,0.43514,0.10167,0.16483,3

ROUGE-L+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.58315,0.23218,0.33212,3

ROUGE-1+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.71005,0.20304,0.31578,3

ROUGE-2+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.38188,0.08062,0.13313,3

ROUGE-SU4+StopWordRemoval+Stemming,32555,SUMMARY.TXT,0.47907,0.09003,0.15157,3

ROUGE-L+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.53628,0.25935,0.34962,3

ROUGE-1+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.69061,0.27936,0.39780,3

ROUGE-2+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.23399,0.07839,0.11744,3

ROUGE-SU4+StopWordRemoval+Stemming,32556,SUMMARY.TXT,0.40068,0.10730,0.16927,3

ROUGE-L+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.63782,0.21704,0.32388,3

ROUGE-1+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.75313,0.20265,0.31937,3

ROUGE-2+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.37601,0.07626,0.12680,3

ROUGE-SU4+StopWordRemoval+Stemming,31101,SUMMARY.TXT,0.47907,0.08743,0.14787,3

ROUGE-L+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.57408,0.26357,0.36127,4

ROUGE-1+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.67703,0.25517,0.37064,4

ROUGE-2+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.29831,0.09029,0.13862,4

ROUGE-SU4+StopWordRemoval+Stemming,32553,SUMMARY.TXT,0.42909,0.10524,0.16903,4

ROUGE-L+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.62498,0.23708,0.34376,4

ROUGE-1+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.78530,0.22227,0.34647,4

ROUGE-2+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.39381,0.09169,0.14875,4

ROUGE-SU4+StopWordRemoval+Stemming,31224,SUMMARY.TXT,0.52657,0.09923,0.16699,4

ROUGE-L+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.55056,0.21205,0.30618,3

ROUGE-1+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.72241,0.20498,0.31935,3

ROUGE-2+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.25287,0.06341,0.10139,3

ROUGE-SU4+StopWordRemoval+Stemming,31220,SUMMARY.TXT,0.41724,0.08590,0.14247,3

ROUGE-L+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.48610,0.21197,0.29521,3

ROUGE-1+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.64316,0.28187,0.39196,3

ROUGE-2+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.31751,0.11207,0.16566,3

ROUGE-SU4+StopWordRemoval+Stemming,32792,SUMMARY.TXT,0.39849,0.13580,0.20257,3

ROUGE-L+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.59339,0.18913,0.28684,4

ROUGE-1+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.72024,0.12550,0.21375,4

ROUGE-2+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.33861,0.04364,0.07732,4

ROUGE-SU4+StopWordRemoval+Stemming,31462,SUMMARY.TXT,0.45118,0.05123,0.09201,4

ROUGE-L+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.47773,0.27390,0.34818,3

ROUGE-1+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.61372,0.20523,0.30760,3

ROUGE-2+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.21156,0.05822,0.09131,3

ROUGE-SU4+StopWordRemoval+Stemming,30813,SUMMARY.TXT,0.36918,0.08174,0.13385,3

ROUGE-L+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.63947,0.21972,0.32706,4

ROUGE-1+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.80131,0.16124,0.26846,4

ROUGE-2+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.41429,0.07232,0.12315,4

ROUGE-SU4+StopWordRemoval+Stemming,31109,SUMMARY.TXT,0.53069,0.07972,0.13862,4

ROUGE-L+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.49056,0.35535,0.41215,3

ROUGE-1+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.56826,0.36611,0.44532,3

ROUGE-2+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.18103,0.10746,0.13486,3

ROUGE-SU4+StopWordRemoval+Stemming,30815,SUMMARY.TXT,0.32117,0.14541,0.20019,3

ROUGE-L+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.48549,0.28294,0.35752,4

ROUGE-1+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.57247,0.30399,0.39711,4

ROUGE-2+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.20035,0.08612,0.12046,4

ROUGE-SU4+StopWordRemoval+Stemming,31469,SUMMARY.TXT,0.33354,0.12119,0.17778,4

ROUGE-L+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.47368,0.17385,0.25435,6

ROUGE-1+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.62393,0.19909,0.30186,6

ROUGE-2+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.26025,0.05784,0.09465,6

ROUGE-SU4+StopWordRemoval+Stemming,31589,SUMMARY.TXT,0.37589,0.08059,0.13272,6

ROUGE-L+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.57460,0.30019,0.39435,3

ROUGE-1+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.67027,0.30736,0.42146,3

ROUGE-2+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.34355,0.12206,0.18012,3

ROUGE-SU4+StopWordRemoval+Stemming,31105,SUMMARY.TXT,0.45233,0.13919,0.21288,3

